상호명,상권업종중분류명,시도명,시군구명,행정동명,경도,위도
까끌레뽀끌레미용실,이용·미용,전북특별자치도,전주시 덕진구,송천1동,127.123498371054,35.8651316025968
아모레이용원,이용·미용,전북특별자치도,군산시,대야면,126.816716278321,35.9450589344242
하람갤러리,장식품 소매,전북특별자치도,진안군,진안읍,127.420370399385,35.7489908436885
아리따움모현배산점,의약·화장품 소매,전북특별자치도,익산시,모현동,126.938837057626,35.9522400028099
SM통신,가전·통신 소매,전북특별자치도,전주시 덕진구,인후3동,127.163169567032,35.832630067989
서부타이어,자동차 수리·세차,전북특별자치도,전주시 덕진구,조촌동,127.061845969224,35.8756787569838
다성공인중개사,부동산 서비스,전북특별자치도,전주시 덕진구,여의동,127.081753758095,35.873233476803
꽃길다방,비알코올 ,전북특별자치도,전주시 완산구,풍남동,127.145879135947,35.8129237275627
9292뒷고기,한식,전북특별자치도,익산시,모현동,126.935148770812,35.9488494002929
GS25점,종합 소매,전북특별자치도,군산시,수송동,126.708972353597,35.9551832553539
아서원,중식,전북특별자치도,전주시 완산구,효자5동,127.103216068874,35.8323540308805
서신효마트동서로,종합 소매,전북특별자치도,전주시 완산구,서신동,127.11226848047,35.8317510852403
효자키센타.효자열쇠,철물·건설자재 소매,전북특별자치도,전주시 완산구,효자1동,127.127478691821,35.8062572862267
하북주유소,연료 소매,전북특별자치도,정읍시,수성동,126.865118379717,35.5904291026282
새론에너지,연료 소매,전북특별자치도,전주시 덕진구,팔복동,127.097062126642,35.841128397948
신뢰로여는내일공인노무사허기봉,법무관련 ,전북특별자치도,전주시 덕진구,인후3동,127.16486719111,35.8347006437828
목포상회,식료품 소매,전북특별자치도,순창군,순창읍,127.146159050901,35.3715777100925
스타일바이에스,이용·미용,전북특별자치도,익산시,신동,126.959515975156,35.9606843680679
초장집,한식,전북특별자치도,전주시 완산구,중앙동,127.139947554019,35.8187619354037
비어치킨,주점,전북특별자치도,익산시,남중동,126.956251263139,35.9507245162945
변호사박사무엘법률사무소,법무관련 ,전북특별자치도,군산시,조촌동,126.739401909922,35.9679966708426
자연가,식료품 소매,전북특별자치도,정읍시,옹동면,126.960458802966,35.6246030046142
지리산고원흑돈,한식,전북특별자치도,남원시,아영면,127.592029720898,35.4801839572977
고수이용원,이용·미용,전북특별자치도,고창군,고수면,126.677933010791,35.4087588878223
